images,labels
data/images/paper_076.jpg,data/labels/paper_076.txt
data/images/paper_077.jpg,data/labels/paper_077.txt
data/images/paper_078.png,data/labels/paper_078.txt
data/images/paper_079.png,data/labels/paper_079.txt
data/images/paper_080.jpg,data/labels/paper_080.txt
data/images/paper_081.jpg,data/labels/paper_081.txt
data/images/paper_082.jpg,data/labels/paper_082.txt
data/images/paper_083.jpg,data/labels/paper_083.txt
data/images/paper_084.jpg,data/labels/paper_084.txt
data/images/paper_085.jpg,data/labels/paper_085.txt
data/images/paper_086.jpg,data/labels/paper_086.txt
data/images/paper_087.jpg,data/labels/paper_087.txt
data/images/paper_088.jpg,data/labels/paper_088.txt
data/images/paper_089.jpg,data/labels/paper_089.txt
data/images/paper_090.jpg,data/labels/paper_090.txt
data/images/paper_091.jpg,data/labels/paper_091.txt
data/images/paper_092.jpg,data/labels/paper_092.txt
data/images/paper_093.jpg,data/labels/paper_093.txt
data/images/paper_094.jpg,data/labels/paper_094.txt
data/images/paper_095.jpg,data/labels/paper_095.txt
data/images/paper_096.jpg,data/labels/paper_096.txt
data/images/paper_097.jpg,data/labels/paper_097.txt
data/images/paper_098.jpg,data/labels/paper_098.txt
data/images/paper_099.jpg,data/labels/paper_099.txt
data/images/paper_100.jpg,data/labels/paper_100.txt
data/images/paper_101.jpg,data/labels/paper_101.txt
data/images/paper_102.jpg,data/labels/paper_102.txt
data/images/paper_103.jpg,data/labels/paper_103.txt
data/images/paper_104.jpg,data/labels/paper_104.txt
data/images/paper_105.jpg,data/labels/paper_105.txt
data/images/paper_106.jpg,data/labels/paper_106.txt
data/images/paper_107.jpg,data/labels/paper_107.txt
data/images/paper_108.jpg,data/labels/paper_108.txt
data/images/paper_109.jpg,data/labels/paper_109.txt
data/images/paper_110.jpg,data/labels/paper_110.txt
data/images/paper_111.jpg,data/labels/paper_111.txt
data/images/paper_112.jpg,data/labels/paper_112.txt
data/images/paper_113.jpg,data/labels/paper_113.txt
data/images/paper_114.jpg,data/labels/paper_114.txt
data/images/paper_115.jpg,data/labels/paper_115.txt
data/images/paper_116.jpg,data/labels/paper_116.txt
data/images/paper_117.jpg,data/labels/paper_117.txt
data/images/paper_118.jpg,data/labels/paper_118.txt
data/images/paper_119.jpg,data/labels/paper_119.txt
data/images/paper_120.jpg,data/labels/paper_120.txt
data/images/paper_121.jpg,data/labels/paper_121.txt
data/images/paper_122.jpg,data/labels/paper_122.txt
data/images/paper_123.jpg,data/labels/paper_123.txt
data/images/paper_124.jpg,data/labels/paper_124.txt
data/images/paper_125.jpg,data/labels/paper_125.txt
data/images/paper_126.jpg,data/labels/paper_126.txt
data/images/paper_127.jpg,data/labels/paper_127.txt
data/images/paper_128.jpg,data/labels/paper_128.txt
data/images/paper_129.jpg,data/labels/paper_129.txt
data/images/paper_130.jpg,data/labels/paper_130.txt
data/images/paper_131.jpg,data/labels/paper_131.txt
data/images/paper_132.jpg,data/labels/paper_132.txt
data/images/paper_133.jpg,data/labels/paper_133.txt
data/images/paper_134.jpg,data/labels/paper_134.txt
data/images/paper_135.jpg,data/labels/paper_135.txt
data/images/paper_136.jpg,data/labels/paper_136.txt
data/images/paper_137.jpg,data/labels/paper_137.txt
data/images/paper_138.jpg,data/labels/paper_138.txt
data/images/paper_139.jpg,data/labels/paper_139.txt
data/images/paper_140.jpg,data/labels/paper_140.txt
data/images/paper_141.jpg,data/labels/paper_141.txt
data/images/paper_142.jpg,data/labels/paper_142.txt
data/images/paper_143.jpg,data/labels/paper_143.txt
data/images/paper_144.jpg,data/labels/paper_144.txt
data/images/paper_145.jpg,data/labels/paper_145.txt
data/images/paper_146.jpg,data/labels/paper_146.txt
data/images/paper_147.jpg,data/labels/paper_147.txt
data/images/paper_148.jpg,data/labels/paper_148.txt
data/images/paper_149.jpg,data/labels/paper_149.txt
data/images/paper_150.jpg,data/labels/paper_150.txt
data/images/paper_151.jpg,data/labels/paper_151.txt
data/images/paper_152.jpg,data/labels/paper_152.txt
data/images/paper_153.jpg,data/labels/paper_153.txt
data/images/paper_154.jpg,data/labels/paper_154.txt
data/images/paper_155.jpg,data/labels/paper_155.txt
data/images/paper_156.jpg,data/labels/paper_156.txt
data/images/paper_157.jpg,data/labels/paper_157.txt
data/images/paper_158.jpg,data/labels/paper_158.txt
data/images/paper_159.jpg,data/labels/paper_159.txt
data/images/paper_160.jpg,data/labels/paper_160.txt
data/images/paper_161.jpg,data/labels/paper_161.txt
data/images/paper_162.jpg,data/labels/paper_162.txt
data/images/paper_163.jpg,data/labels/paper_163.txt
data/images/paper_164.jpg,data/labels/paper_164.txt
data/images/paper_165.jpg,data/labels/paper_165.txt
data/images/paper_166.jpg,data/labels/paper_166.txt
data/images/paper_167.jpg,data/labels/paper_167.txt
data/images/paper_168.jpg,data/labels/paper_168.txt
data/images/paper_169.jpg,data/labels/paper_169.txt
data/images/paper_170.jpg,data/labels/paper_170.txt
data/images/paper_171.jpg,data/labels/paper_171.txt
data/images/paper_172.jpg,data/labels/paper_172.txt
data/images/paper_173.jpg,data/labels/paper_173.txt
data/images/paper_174.jpg,data/labels/paper_174.txt
data/images/paper_175.jpg,data/labels/paper_175.txt
data/images/paper_176.png,data/labels/paper_176.txt
data/images/paper_177.png,data/labels/paper_177.txt
data/images/paper_178.jpg,data/labels/paper_178.txt
data/images/paper_179.jpg,data/labels/paper_179.txt
data/images/paper_180.jpg,data/labels/paper_180.txt
data/images/paper_181.jpg,data/labels/paper_181.txt
data/images/paper_182.jpg,data/labels/paper_182.txt
data/images/paper_183.jpg,data/labels/paper_183.txt
data/images/paper_184.jpg,data/labels/paper_184.txt
data/images/paper_185.jpg,data/labels/paper_185.txt
data/images/paper_186.jpg,data/labels/paper_186.txt
data/images/paper_187.jpg,data/labels/paper_187.txt
data/images/paper_188.jpg,data/labels/paper_188.txt
data/images/paper_189.jpg,data/labels/paper_189.txt
data/images/paper_190.jpg,data/labels/paper_190.txt
data/images/paper_191.jpg,data/labels/paper_191.txt
data/images/paper_192.jpg,data/labels/paper_192.txt
data/images/paper_193.jpg,data/labels/paper_193.txt
data/images/paper_194.jpg,data/labels/paper_194.txt
data/images/paper_195.jpg,data/labels/paper_195.txt
data/images/paper_196.jpg,data/labels/paper_196.txt
data/images/paper_197.jpg,data/labels/paper_197.txt
data/images/paper_198.jpg,data/labels/paper_198.txt
data/images/paper_199.jpg,data/labels/paper_199.txt
data/images/paper_200.jpg,data/labels/paper_200.txt
